event_name,location_city,date,player_team,opponent,map,kd,plus_minus,rating,location_openaq,co,no,no2,nox,o3,pm10,pm25,so2,weather_code,temperature_2m_max,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,daylight_duration,sunshine_duration,rain_sum,snowfall_sum,precipitation_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,apparent_temperature_mean,cloud_cover_mean,cloud_cover_max,cloud_cover_min,dew_point_2m_min,dew_point_2m_max,dew_point_2m_mean,et0_fao_evapotranspiration_sum,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,snowfall_water_equivalent_sum,pressure_msl_mean,pressure_msl_max,pressure_msl_min,surface_pressure_mean,surface_pressure_max,surface_pressure_min,wind_gusts_10m_mean,wind_speed_10m_mean,wind_gusts_10m_min,wind_speed_10m_min,wet_bulb_temperature_2m_mean,wet_bulb_temperature_2m_max,wet_bulb_temperature_2m_min,vapour_pressure_deficit_max,temperature_2m_min,temperature_2m_mean,elevation
BLAST Bounty 2025 Season 1 Finals,Copenhagen,2025-01-24,Vitality,Eternal Fire,anb,12 - 15,-3,0.8,"""Copenhagen/1259""",182.0,,7.38,,54.4,,,,51.0,6.7,1.7371898,-2.1993394,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,29486.82,0.0,1.6000001,0.0,1.6000001,6.0,35.662262,72.36,197.69153,1.3,0.5220661,-0.9173746,97.708336,100.0,61.0,1.1,5.2,2.8520834,0.5220661,88.16848,91.40266,84.76818,0.0,1001.21674,1003.7,997.7,999.49457,1001.96747,995.9903,53.55,26.932758,37.44,20.219378,3.4854622,5.602051,1.8742905,0.13274896,3.1,4.6437497,14.0
BLAST Bounty 2025 Season 1 Finals,Copenhagen,2025-01-24,Vitality,Eternal Fire,mrg,20 - 17,3,1.32,"""Copenhagen/1259""",182.0,,7.38,,54.4,,,,51.0,6.7,1.7371898,-2.1993394,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,29486.82,0.0,1.6000001,0.0,1.6000001,6.0,35.662262,72.36,197.69153,1.3,0.5220661,-0.9173746,97.708336,100.0,61.0,1.1,5.2,2.8520834,0.5220661,88.16848,91.40266,84.76818,0.0,1001.21674,1003.7,997.7,999.49457,1001.96747,995.9903,53.55,26.932758,37.44,20.219378,3.4854622,5.602051,1.8742905,0.13274896,3.1,4.6437497,14.0
BLAST Bounty 2025 Season 2 Finals,Valletta,2025-08-15,Vitality,Liquid,nuke,30 - 21,9,1.34,Zejtun Station,,,15.7,,52.6,34.9,23.8,0.089,0.0,32.8,38.66556,29.56971,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,48661.176,45134.465,0.0,0.0,0.0,0.0,8.350138,25.919998,327.90872,25.28,5.322654,33.164757,0.6666667,11.0,0.0,20.8,24.7,22.997917,5.322654,76.21485,96.48591,50.419464,0.0,1014.6958,1016.0,1013.6,1009.07465,1010.4329,1007.9955,16.965,5.5215983,7.92,2.968636,24.487291,24.916151,23.800987,2.463979,24.65,28.045832,49.0
BLAST Bounty 2025 Season 2 Finals,Valletta,2025-08-15,Vitality,Liquid,trn,25 - 17,8,1.13,Zejtun Station,,,15.7,,52.6,34.9,23.8,0.089,0.0,32.8,38.66556,29.56971,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,48661.176,45134.465,0.0,0.0,0.0,0.0,8.350138,25.919998,327.90872,25.28,5.322654,33.164757,0.6666667,11.0,0.0,20.8,24.7,22.997917,5.322654,76.21485,96.48591,50.419464,0.0,1014.6958,1016.0,1013.6,1009.07465,1010.4329,1007.9955,16.965,5.5215983,7.92,2.968636,24.487291,24.916151,23.800987,2.463979,24.65,28.045832,49.0
BLAST Bounty 2025 Season 2 Finals,Valletta,2025-08-16,Vitality,The MongolZ,inf,17 - 16,1,0.96,Zejtun Station,,,18.4,,91.4,36.8,25.4,0.0894,2.0,31.75,36.336773,28.297798,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,48543.48,44306.74,0.0,0.0,0.0,0.0,9.746631,30.960001,152.48811,24.35,5.2499943,31.78142,24.708334,79.0,0.0,18.85,24.3,21.358335,5.2499943,70.88305,95.616455,48.076763,0.0,1011.9333,1013.6,1010.4,1006.3201,1007.929,1004.81134,17.88,5.6020694,3.6,1.4399999,23.310965,24.504433,22.503101,2.3847778,23.45,27.65625,49.0
BLAST Bounty 2025 Season 2 Finals,Valletta,2025-08-16,Vitality,The MongolZ,mrg,15 - 13,2,1.13,Zejtun Station,,,18.4,,91.4,36.8,25.4,0.0894,2.0,31.75,36.336773,28.297798,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,48543.48,44306.74,0.0,0.0,0.0,0.0,9.746631,30.960001,152.48811,24.35,5.2499943,31.78142,24.708334,79.0,0.0,18.85,24.3,21.358335,5.2499943,70.88305,95.616455,48.076763,0.0,1011.9333,1013.6,1010.4,1006.3201,1007.929,1004.81134,17.88,5.6020694,3.6,1.4399999,23.310965,24.504433,22.503101,2.3847778,23.45,27.65625,49.0
BLAST Bounty 2026 Season 1 Finals,Valletta,2026-01-23,Vitality,GamerLegion,d2,20 - 13,7,1.35,Msida Station,266.0,,26.6,,,26.5,8.49,0.774,61.0,15.8,12.749741,9.131725,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,36661.58,30527.566,5.6,0.0,5.6,11.0,26.733482,57.96,283.92438,10.58,1.9614766,11.250408,55.0,100.0,5.0,9.35,11.7,10.291667,1.9614766,79.176094,90.330284,66.399124,0.0,1004.54584,1009.9,1000.4,998.7082,1004.03186,994.5465,40.574997,18.991005,26.28,12.346741,11.581551,12.156725,10.677805,0.60376716,11.95,13.916667,49.0
BLAST Bounty 2026 Season 1 Finals,Valletta,2026-01-23,Vitality,GamerLegion,inf,15 - 16,-1,1.28,Msida Station,266.0,,26.6,,,26.5,8.49,0.774,61.0,15.8,12.749741,9.131725,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,36661.58,30527.566,5.6,0.0,5.6,11.0,26.733482,57.96,283.92438,10.58,1.9614766,11.250408,55.0,100.0,5.0,9.35,11.7,10.291667,1.9614766,79.176094,90.330284,66.399124,0.0,1004.54584,1009.9,1000.4,998.7082,1004.03186,994.5465,40.574997,18.991005,26.28,12.346741,11.581551,12.156725,10.677805,0.60376716,11.95,13.916667,49.0
BLAST Bounty 2026 Season 1 Finals,Valletta,2026-01-24,Vitality,Falcons,anb,19 - 8,11,1.83,Msida Station,243.0,,27.9,,,138.0,31.1,0.841,3.0,18.35,16.364113,11.2759905,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,36755.707,35267.727,0.0,0.0,0.0,0.0,27.900581,53.28,191.39085,12.24,2.7799997,13.719829,47.166668,100.0,1.0,8.55,12.35,10.868749,2.7799997,70.4981,76.44087,65.453735,0.0,1008.39166,1010.2,1005.1,1002.57904,1004.4058,999.33185,40.454998,19.365578,27.72,11.919479,12.845982,14.345863,10.591492,0.71047854,13.85,16.260416,49.0
BLAST Bounty 2026 Season 1 Finals,Valletta,2026-01-24,Vitality,Falcons,inf,13 - 17,-4,0.54,Msida Station,243.0,,27.9,,,138.0,31.1,0.841,3.0,18.35,16.364113,11.2759905,1970-01-01T00:00:00+00:00,1970-01-01T00:00:00+00:00,36755.707,35267.727,0.0,0.0,0.0,0.0,27.900581,53.28,191.39085,12.24,2.7799997,13.719829,47.166668,100.0,1.0,8.55,12.35,10.868749,2.7799997,70.4981,76.44087,65.453735,0.0,1008.39166,1010.2,1005.1,1002.57904,1004.4058,999.33185,40.454998,19.365578,27.72,11.919479,12.845982,14.345863,10.591492,0.71047854,13.85,16.260416,49.0
