event_name,location_city,date,player_team,opponent,map,kd,plus_minus,rating,location_openaq,co,no,no2,nox,o3,pm10,pm25,so2
BLAST Bounty 2025 Season 1 Finals,Copenhagen,2025-01-24,Vitality,Eternal Fire,anb,12 - 15,-3,0.8,"""Copenhagen/1259""",182.0,,7.38,,54.4,,,
BLAST Bounty 2025 Season 1 Finals,Copenhagen,2025-01-24,Vitality,Eternal Fire,mrg,20 - 17,3,1.32,"""Copenhagen/1259""",182.0,,7.38,,54.4,,,
BLAST Bounty 2025 Season 2 Finals,Valletta,2025-08-15,Vitality,Liquid,nuke,30 - 21,9,1.34,Zejtun Station,,,15.7,,52.6,34.9,23.8,0.089
BLAST Bounty 2025 Season 2 Finals,Valletta,2025-08-15,Vitality,Liquid,trn,25 - 17,8,1.13,Zejtun Station,,,15.7,,52.6,34.9,23.8,0.089
BLAST Bounty 2025 Season 2 Finals,Valletta,2025-08-16,Vitality,The MongolZ,inf,17 - 16,1,0.96,Zejtun Station,,,18.4,,91.4,36.8,25.4,0.0894
BLAST Bounty 2025 Season 2 Finals,Valletta,2025-08-16,Vitality,The MongolZ,mrg,15 - 13,2,1.13,Zejtun Station,,,18.4,,91.4,36.8,25.4,0.0894
BLAST Bounty 2026 Season 1 Finals,Valletta,2026-01-23,Vitality,GamerLegion,d2,20 - 13,7,1.35,Msida Station,266.0,,26.6,,,26.5,8.49,0.774
BLAST Bounty 2026 Season 1 Finals,Valletta,2026-01-23,Vitality,GamerLegion,inf,15 - 16,-1,1.28,Msida Station,266.0,,26.6,,,26.5,8.49,0.774
BLAST Bounty 2026 Season 1 Finals,Valletta,2026-01-24,Vitality,Falcons,anb,19 - 8,11,1.83,Msida Station,243.0,,27.9,,,138.0,31.1,0.841
BLAST Bounty 2026 Season 1 Finals,Valletta,2026-01-24,Vitality,Falcons,inf,13 - 17,-4,0.54,Msida Station,243.0,,27.9,,,138.0,31.1,0.841
BLAST Bounty 2026 Season 1 Finals,Valletta,2026-01-24,Vitality,Falcons,mrg,5 - 15,-10,0.56,Msida Station,243.0,,27.9,,,138.0,31.1,0.841
BLAST Open Lisbon 2025,Copenhagen,2025-03-19,Vitality,Astralis,d2,17 - 8,9,1.57,"""Copenhagen/1259""",167.0,,4.86,,76.9,,,
BLAST Open Lisbon 2025,Copenhagen,2025-03-19,Vitality,Astralis,inf,13 - 6,7,1.47,"""Copenhagen/1259""",167.0,,4.86,,76.9,,,
BLAST Open Lisbon 2025,Copenhagen,2025-03-21,Vitality,Virtus.pro,anb,19 - 6,13,1.97,"""Copenhagen/1259""",165.0,,6.76,,79.3,,,
BLAST Open Lisbon 2025,Copenhagen,2025-03-21,Vitality,Virtus.pro,inf,17 - 12,5,1.39,"""Copenhagen/1259""",165.0,,6.76,,79.3,,,
BLAST Open Lisbon 2025,Copenhagen,2025-03-24,Vitality,MOUZ,d2,22 - 14,8,1.76,"""Copenhagen/1259""",74.5,,9.44,,38.0,,,
BLAST Open Lisbon 2025,Copenhagen,2025-03-24,Vitality,MOUZ,mrg,20 - 14,6,1.36,"""Copenhagen/1259""",74.5,,9.44,,38.0,,,
BLAST Open Lisbon 2025,Lisbon,2025-03-29,Vitality,Spirit,anb,15 - 11,4,1.54,Alfragide/Amadora,,,,,,,,3.3
BLAST Open Lisbon 2025,Lisbon,2025-03-29,Vitality,Spirit,mrg,26 - 14,12,1.75,Alfragide/Amadora,,,,,,,,3.3
BLAST Open Lisbon 2025,Lisbon,2025-03-29,Vitality,Spirit,nuke,12 - 16,-4,1.08,Alfragide/Amadora,,,,,,,,3.3
BLAST Open Lisbon 2025,Lisbon,2025-03-30,Vitality,MOUZ,d2,19 - 12,7,1.4,Alfragide/Amadora,,,,,,,,3.3
BLAST Open Lisbon 2025,Lisbon,2025-03-30,Vitality,MOUZ,inf,13 - 2,11,2.57,Alfragide/Amadora,,,,,,,,3.3
BLAST Open Lisbon 2025,Lisbon,2025-03-30,Vitality,MOUZ,mrg,12 - 16,-4,0.86,Alfragide/Amadora,,,,,,,,3.3
BLAST Open Lisbon 2025,Lisbon,2025-03-30,Vitality,MOUZ,nuke,21 - 13,8,1.65,Alfragide/Amadora,,,,,,,,3.3
BLAST Open Lisbon 2025,Lisbon,2025-03-30,Vitality,MOUZ,trn,18 - 12,6,1.48,Alfragide/Amadora,,,,,,,,3.3
BLAST Open London 2025 Finals,London,2025-09-06,Vitality,MOUZ,inf,19 - 12,7,1.56,Westminster - Marylebone Road,133.0,,36.0,,30.0,20.2,8.13,1.68
BLAST Open London 2025 Finals,London,2025-09-06,Vitality,MOUZ,mrg,16 - 9,7,1.32,Westminster - Marylebone Road,133.0,,36.0,,30.0,20.2,8.13,1.68
BLAST Open London 2025 Finals,London,2025-09-07,Vitality,G2,d2,9 - 13,-4,1.03,Westminster - Marylebone Road,71.4,,21.2,,35.4,17.1,6.55,1.56
BLAST Open London 2025 Finals,London,2025-09-07,Vitality,G2,inf,17 - 22,-5,0.72,Westminster - Marylebone Road,71.4,,21.2,,35.4,17.1,6.55,1.56
BLAST Open London 2025 Finals,London,2025-09-07,Vitality,G2,mrg,30 - 6,24,2.61,Westminster - Marylebone Road,71.4,,21.2,,35.4,17.1,6.55,1.56
BLAST Open London 2025 Finals,London,2025-09-07,Vitality,G2,ovp,20 - 10,10,1.9,Westminster - Marylebone Road,71.4,,21.2,,35.4,17.1,6.55,1.56
BLAST Open London 2025 Finals,London,2025-09-07,Vitality,G2,trn,11 - 16,-5,0.85,Westminster - Marylebone Road,71.4,,21.2,,35.4,17.1,6.55,1.56
BLAST Open Porto 2026,Copenhagen,2026-08-27,Vitality,Inner Circle,anb,11 - 15,-4,0.93,"""Copenhagen/1259""",58.3,,5.01,,61.3,,,
BLAST Open Porto 2026,Copenhagen,2026-08-27,Vitality,Inner Circle,cch,16 - 21,-5,0.69,"""Copenhagen/1259""",58.3,,5.01,,61.3,,,
BLAST Open Rotterdam 2026,Copenhagen,2026-03-19,Vitality,9z,nuke,14 - 7,7,1.57,"""Copenhagen/1259""",246.0,,12.7,,60.3,,,
BLAST Open Rotterdam 2026,Copenhagen,2026-03-19,Vitality,9z,ovp,23 - 8,15,2.38,"""Copenhagen/1259""",246.0,,12.7,,60.3,,,
BLAST Open Rotterdam 2026,Copenhagen,2026-03-21,Vitality,The MongolZ,mrg,19 - 9,10,2.22,"""Copenhagen/1259""",148.0,,8.5,,69.1,,,
BLAST Open Rotterdam 2026,Copenhagen,2026-03-21,Vitality,The MongolZ,ovp,23 - 14,9,1.42,"""Copenhagen/1259""",148.0,,8.5,,69.1,,,
BLAST Open Rotterdam 2026,Copenhagen,2026-03-23,Vitality,PARIVISION,mrg,17 - 11,6,1.12,"""Copenhagen/1259""",215.0,,16.4,,62.5,,,
BLAST Open Rotterdam 2026,Rotterdam,2026-03-23,Vitality,PARIVISION,inf,28 - 15,13,1.67,Rotterdam Noord-Statenweg,,,33.8,,34.7,37.0,,
BLAST Open Rotterdam 2026,Rotterdam,2026-03-28,Vitality,Aurora,inf,10 - 8,2,1.03,Rotterdam Noord-Statenweg,,,13.1,,58.0,15.4,,
BLAST Open Rotterdam 2026,Rotterdam,2026-03-28,Vitality,Aurora,nuke,18 - 10,8,1.83,Rotterdam Noord-Statenweg,,,13.1,,58.0,15.4,,
BLAST Open Rotterdam 2026,Rotterdam,2026-03-29,Vitality,Natus Vincere,anb,15 - 12,3,1.04,Rotterdam Noord-Statenweg,,,24.3,,40.5,13.6,,
BLAST Open Rotterdam 2026,Rotterdam,2026-03-29,Vitality,Natus Vincere,d2,16 - 8,8,1.26,Rotterdam Noord-Statenweg,,,24.3,,40.5,13.6,,
BLAST Open Rotterdam 2026,Rotterdam,2026-03-29,Vitality,Natus Vincere,inf,16 - 12,4,1.42,Rotterdam Noord-Statenweg,,,24.3,,40.5,13.6,,
BLAST Premier Fall Final 2021,Copenhagen,2021-11-24,Vitality,Liquid,d2,24 - 10,14,1.64,"""Copenhagen/1259""",,,9.22,,61.1,,,
BLAST Premier Fall Final 2021,Copenhagen,2021-11-24,Vitality,Liquid,mrg,25 - 15,10,1.54,"""Copenhagen/1259""",,,9.22,,61.1,,,
