event_name,location,event_id,date,player_team,opponent,map,kd,plus_minus,rating
BLAST Open Porto 2026,"Copenhagen",8249,27/08/26,Vitality,Inner Circle,cch,16 - 21,-5,0.69
BLAST Open Porto 2026,"Copenhagen",8249,27/08/26,Vitality,Inner Circle,anb,11 - 15,-4,0.93
Esports World Cup 2026,"Paris",8261,21/08/26,Vitality,Spirit,mrg,5 - 14,-9,0.73
Esports World Cup 2026,"Paris",8261,21/08/26,Vitality,Spirit,nuke,25 - 17,+8,1.29
Esports World Cup 2026,"Paris",8261,21/08/26,Vitality,Spirit,anb,21 - 17,+4,1.02
Esports World Cup 2026,"Paris",8261,20/08/26,Vitality,FaZe,cch,25 - 10,+15,2.21
Esports World Cup 2026,"Paris",8261,20/08/26,Vitality,FaZe,d2,17 - 15,+2,1.17
Esports World Cup 2026,"Paris",8261,16/08/26,Vitality,Lynn Vision,inf,22 - 9,+13,2.18
Esports World Cup 2026,"Paris",8261,16/08/26,Vitality,Lynn Vision,d2,18 - 8,+10,2.22
Esports World Cup 2026,"Paris",8261,14/08/26,Vitality,B8,d2,9 - 12,-3,0.84
Esports World Cup 2026,"Paris",8261,14/08/26,Vitality,B8,inf,17 - 17,0,0.99
Esports World Cup 2026,"Paris",8261,14/08/26,Vitality,B8,mrg,23 - 17,+6,1.58
Esports World Cup 2026,"Paris",8261,12/08/26,Vitality,100 Thieves,nuke,15 - 7,+8,1.28
IEM Cologne Major 2026,"Cologne",8301,19/06/26,Vitality,Falcons,d2,13 - 15,-2,0.91
IEM Cologne Major 2026,"Cologne",8301,19/06/26,Vitality,Falcons,inf,26 - 13,+13,1.67
IEM Cologne Major 2026,"Cologne",8301,19/06/26,Vitality,Falcons,anb,15 - 14,+1,0.95
IEM Cologne Major 2026,"Cologne",8301,14/06/26,Vitality,BetBoom,nuke,30 - 14,+16,1.70
IEM Cologne Major 2026,"Cologne",8301,14/06/26,Vitality,BetBoom,ovp,23 - 10,+13,1.62
IEM Cologne Major 2026,"Cologne",8301,13/06/26,Vitality,MOUZ,inf,23 - 8,+15,2.32
IEM Cologne Major 2026,"Cologne",8301,13/06/26,Vitality,MOUZ,d2,15 - 14,+1,1.22
IEM Cologne Major 2026,"Cologne",8301,13/06/26,Vitality,MOUZ,mrg,19 - 9,+10,1.56
IEM Cologne Major 2026,"Cologne",8301,12/06/26,Vitality,9z,d2,20 - 16,+4,1.27
IEM Cologne Major 2026,"Cologne",8301,12/06/26,Vitality,9z,mrg,15 - 13,+2,1.27
IEM Cologne Major 2026,"Cologne",8301,12/06/26,Vitality,9z,inf,10 - 9,+1,1.03
IEM Cologne Major 2026,"Cologne",8301,11/06/26,Vitality,FUT,nuke,27 - 10,+17,2.14
IEM Cologne Major 2026,"Cologne",8301,11/06/26,Vitality,FUT,ovp,19 - 5,+14,2.38
IEM Cologne Major 2026,"Cologne",8301,11/06/26,Vitality,FUT,anb,7 - 15,-8,0.68
IEM Atlanta 2026,"Atlanta",8243,16/05/26,Vitality,Natus Vincere,inf,5 - 13,-8,0.54
IEM Atlanta 2026,"Atlanta",8243,16/05/26,Vitality,Natus Vincere,anb,15 - 14,+1,1.04
IEM Atlanta 2026,"Atlanta",8243,16/05/26,Vitality,Natus Vincere,d2,19 - 13,+6,1.28
IEM Atlanta 2026,"Atlanta",8243,13/05/26,Vitality,B8,d2,15 - 10,+5,1.15
IEM Atlanta 2026,"Atlanta",8243,13/05/26,Vitality,B8,mrg,19 - 9,+10,1.61
IEM Atlanta 2026,"Atlanta",8243,13/05/26,Vitality,FaZe,d2,22 - 9,+13,1.86
IEM Atlanta 2026,"Atlanta",8243,13/05/26,Vitality,FaZe,nuke,22 - 16,+6,1.27
IEM Atlanta 2026,"Atlanta",8243,12/05/26,Vitality,BetBoom,nuke,15 - 14,+1,1.10
IEM Atlanta 2026,"Atlanta",8243,12/05/26,Vitality,BetBoom,ovp,17 - 12,+5,1.46
IEM Atlanta 2026,"Atlanta",8243,12/05/26,Vitality,BetBoom,anb,16 - 15,+1,1.38
IEM Atlanta 2026,"Atlanta",8243,11/05/26,Vitality,BC.Game,d2,19 - 11,+8,1.28
IEM Atlanta 2026,"Atlanta",8243,11/05/26,Vitality,BC.Game,mrg,19 - 9,+10,1.81
BLAST Rivals 2026 Season 1,"Fort Worth",8250,03/05/26,Vitality,Natus Vincere,d2,19 - 9,+10,2.18
BLAST Rivals 2026 Season 1,"Fort Worth",8250,03/05/26,Vitality,Natus Vincere,anb,17 - 19,-2,0.98
BLAST Rivals 2026 Season 1,"Fort Worth",8250,03/05/26,Vitality,Natus Vincere,nuke,18 - 17,+1,1.20
BLAST Rivals 2026 Season 1,"Fort Worth",8250,02/05/26,Vitality,GamerLegion,ovp,21 - 18,+3,1.09
BLAST Rivals 2026 Season 1,"Fort Worth",8250,02/05/26,Vitality,GamerLegion,mrg,21 - 3,+18,2.12
BLAST Rivals 2026 Season 1,"Fort Worth",8250,30/04/26,Vitality,G2,d2,18 - 9,+9,1.96
BLAST Rivals 2026 Season 1,"Fort Worth",8250,30/04/26,Vitality,G2,ovp,18 - 15,+3,1.16
BLAST Rivals 2026 Season 1,"Fort Worth",8250,30/04/26,Vitality,G2,mrg,20 - 18,+2,1.22
BLAST Rivals 2026 Season 1,"Fort Worth",8250,29/04/26,Vitality,FUT,nuke,23 - 12,+11,1.36
BLAST Rivals 2026 Season 1,"Fort Worth",8250,29/04/26,Vitality,FUT,d2,30 - 11,+19,1.78
BLAST Rivals 2026 Season 1,"Fort Worth",8250,29/04/26,Vitality,FUT,mrg,16 - 14,+2,0.92
IEM Rio 2026,"Rio de Janeiro",8242,19/04/26,Vitality,Spirit,d2,18 - 8,+10,1.62
IEM Rio 2026,"Rio de Janeiro",8242,19/04/26,Vitality,Spirit,nuke,20 - 12,+8,1.51
IEM Rio 2026,"Rio de Janeiro",8242,19/04/26,Vitality,Spirit,mrg,21 - 19,+2,1.16
IEM Rio 2026,"Rio de Janeiro",8242,18/04/26,Vitality,FURIA,anc,27 - 14,+13,1.57
IEM Rio 2026,"Rio de Janeiro",8242,18/04/26,Vitality,FURIA,ovp,22 - 13,+9,1.66
IEM Rio 2026,"Rio de Janeiro",8242,17/04/26,Vitality,Natus Vincere,d2,14 - 8,+6,1.44
IEM Rio 2026,"Rio de Janeiro",8242,17/04/26,Vitality,Natus Vincere,mrg,30 - 7,+23,2.53
IEM Rio 2026,"Rio de Janeiro",8242,15/04/26,Vitality,Falcons,nuke,19 - 19,0,0.85
IEM Rio 2026,"Rio de Janeiro",8242,15/04/26,Vitality,Falcons,d2,15 - 11,+4,0.98
IEM Rio 2026,"Rio de Janeiro",8242,15/04/26,Vitality,Falcons,mrg,19 - 16,+3,1.08
IEM Rio 2026,"Rio de Janeiro",8242,14/04/26,Vitality,G2,d2,13 - 14,-1,1.01
IEM Rio 2026,"Rio de Janeiro",8242,14/04/26,Vitality,G2,inf,29 - 15,+14,1.65
IEM Rio 2026,"Rio de Janeiro",8242,14/04/26,Vitality,G2,mrg,10 - 13,-3,1.00
IEM Rio 2026,"Rio de Janeiro",8242,13/04/26,Vitality,RED Canids,ovp,21 - 8,+13,1.86
IEM Rio 2026,"Rio de Janeiro",8242,13/04/26,Vitality,RED Canids,nuke,24 - 10,+14,2.34
BLAST Open Rotterdam 2026,"Rotterdam",8248,29/03/26,Vitality,Natus Vincere,d2,16 - 8,+8,1.26
BLAST Open Rotterdam 2026,"Rotterdam",8248,29/03/26,Vitality,Natus Vincere,anb,15 - 12,+3,1.04
BLAST Open Rotterdam 2026,"Rotterdam",8248,29/03/26,Vitality,Natus Vincere,inf,16 - 12,+4,1.42
BLAST Open Rotterdam 2026,"Rotterdam",8248,28/03/26,Vitality,Aurora,nuke,18 - 10,+8,1.83
BLAST Open Rotterdam 2026,"Rotterdam",8248,28/03/26,Vitality,Aurora,inf,10 - 8,+2,1.03
