event_name,location,event_id,date,player_team,opponent,map,kd,plus_minus,rating,datetime_from,datetime_to
BLAST Open Porto 2026,Copenhagen,8249,27/08/26,Vitality,Inner Circle,cch,16 - 21,-5,0.69,2026-08-27T00:00:00,2026-08-28T00:00:00
BLAST Open Porto 2026,Copenhagen,8249,27/08/26,Vitality,Inner Circle,anb,11 - 15,-4,0.93,2026-08-27T00:00:00,2026-08-28T00:00:00
Esports World Cup 2026,Paris,8261,21/08/26,Vitality,Spirit,mrg,5 - 14,-9,0.73,2026-08-12T00:00:00,2026-08-22T00:00:00
Esports World Cup 2026,Paris,8261,21/08/26,Vitality,Spirit,nuke,25 - 17,+8,1.29,2026-08-12T00:00:00,2026-08-22T00:00:00
Esports World Cup 2026,Paris,8261,21/08/26,Vitality,Spirit,anb,21 - 17,+4,1.02,2026-08-12T00:00:00,2026-08-22T00:00:00
Esports World Cup 2026,Paris,8261,20/08/26,Vitality,FaZe,cch,25 - 10,+15,2.21,2026-08-12T00:00:00,2026-08-22T00:00:00
Esports World Cup 2026,Paris,8261,20/08/26,Vitality,FaZe,d2,17 - 15,+2,1.17,2026-08-12T00:00:00,2026-08-22T00:00:00
Esports World Cup 2026,Paris,8261,16/08/26,Vitality,Lynn Vision,inf,22 - 9,+13,2.18,2026-08-12T00:00:00,2026-08-22T00:00:00
Esports World Cup 2026,Paris,8261,16/08/26,Vitality,Lynn Vision,d2,18 - 8,+10,2.22,2026-08-12T00:00:00,2026-08-22T00:00:00
Esports World Cup 2026,Paris,8261,14/08/26,Vitality,B8,d2,9 - 12,-3,0.84,2026-08-12T00:00:00,2026-08-22T00:00:00
Esports World Cup 2026,Paris,8261,14/08/26,Vitality,B8,inf,17 - 17,0,0.99,2026-08-12T00:00:00,2026-08-22T00:00:00
Esports World Cup 2026,Paris,8261,14/08/26,Vitality,B8,mrg,23 - 17,+6,1.58,2026-08-12T00:00:00,2026-08-22T00:00:00
Esports World Cup 2026,Paris,8261,12/08/26,Vitality,100 Thieves,nuke,15 - 7,+8,1.28,2026-08-12T00:00:00,2026-08-22T00:00:00
IEM Cologne Major 2026,Cologne,8301,19/06/26,Vitality,Falcons,d2,13 - 15,-2,0.91,2026-06-11T00:00:00,2026-06-20T00:00:00
IEM Cologne Major 2026,Cologne,8301,19/06/26,Vitality,Falcons,inf,26 - 13,+13,1.67,2026-06-11T00:00:00,2026-06-20T00:00:00
