name,url
BLAST Open Porto 2026,https://www.hltv.org/stats/players/11893/zywoo?event=8249
Esports World Cup 2026,https://www.hltv.org/stats/players/11893/zywoo?event=8261
BLAST Bounty 2026 Season 2,https://www.hltv.org/stats/players/11893/zywoo?event=9154
IEM Cologne Major 2026,https://www.hltv.org/stats/players/11893/zywoo?event=8301
IEM Atlanta 2026,https://www.hltv.org/stats/players/11893/zywoo?event=8243
BLAST Rivals 2026 Season 1,https://www.hltv.org/stats/players/11893/zywoo?event=8250
IEM Rio 2026,https://www.hltv.org/stats/players/11893/zywoo?event=8242
BLAST Open Rotterdam 2026,https://www.hltv.org/stats/players/11893/zywoo?event=8248
PGL Cluj-Napoca 2026,https://www.hltv.org/stats/players/11893/zywoo?event=8047
IEM Kraków 2026,https://www.hltv.org/stats/players/11893/zywoo?event=8240
BLAST Bounty 2026 Season 1 Finals,https://www.hltv.org/stats/players/11893/zywoo?event=8246
BLAST Bounty 2026 Season 1,https://www.hltv.org/stats/players/11893/zywoo?event=8876
StarLadder Budapest Major 2025,https://www.hltv.org/stats/players/11893/zywoo?event=8042
BLAST Rivals 2025 Season 2,https://www.hltv.org/stats/players/11893/zywoo?event=7908
IEM Chengdu 2025,https://www.hltv.org/stats/players/11893/zywoo?event=8041
ESL Pro League Season 22,https://www.hltv.org/stats/players/11893/zywoo?event=8040
BLAST Open London 2025 Finals,https://www.hltv.org/stats/players/11893/zywoo?event=7912
BLAST Open London 2025,https://www.hltv.org/stats/players/11893/zywoo?event=7907
Esports World Cup 2025,https://www.hltv.org/stats/players/11893/zywoo?event=8039
BLAST Bounty 2025 Season 2 Finals,https://www.hltv.org/stats/players/11893/zywoo?event=7910
BLAST Bounty 2025 Season 2,https://www.hltv.org/stats/players/11893/zywoo?event=7906
IEM Cologne 2025,https://www.hltv.org/stats/players/11893/zywoo?event=8038
BLAST.tv Austin Major 2025,https://www.hltv.org/stats/players/11893/zywoo?event=7902
IEM Dallas 2025,https://www.hltv.org/stats/players/11893/zywoo?event=8037
BLAST Rivals 2025 Season 1,https://www.hltv.org/stats/players/11893/zywoo?event=7905
IEM Melbourne 2025,https://www.hltv.org/stats/players/11893/zywoo?event=8036
BLAST Open Lisbon 2025,https://www.hltv.org/stats/players/11893/zywoo?event=7904
ESL Pro League Season 21,https://www.hltv.org/stats/players/11893/zywoo?event=8292
IEM Katowice 2025,https://www.hltv.org/stats/players/11893/zywoo?event=8034
BLAST Bounty 2025 Season 1 Finals,https://www.hltv.org/stats/players/11893/zywoo?event=7909
BLAST Bounty 2025 Season 1,https://www.hltv.org/stats/players/11893/zywoo?event=7903
Perfect World Shanghai Major 2024,https://www.hltv.org/stats/players/11893/zywoo?event=7524
Perfect World Shanghai Major 2024 Europe RMR A,https://www.hltv.org/stats/players/11893/zywoo?event=7864
BLAST Premier World Final 2024,https://www.hltv.org/stats/players/11893/zywoo?event=7557
IEM Rio 2024,https://www.hltv.org/stats/players/11893/zywoo?event=7439
BLAST Premier Fall Final 2024,https://www.hltv.org/stats/players/11893/zywoo?event=7556
ESL Pro League Season 20,https://www.hltv.org/stats/players/11893/zywoo?event=7441
IEM Cologne 2024,https://www.hltv.org/stats/players/11893/zywoo?event=7436
BLAST Premier Fall Groups 2024,https://www.hltv.org/stats/players/11893/zywoo?event=7554
Esports World Cup 2024,https://www.hltv.org/stats/players/11893/zywoo?event=7732
BLAST Premier Spring Final 2024,https://www.hltv.org/stats/players/11893/zywoo?event=7485
IEM Dallas 2024,https://www.hltv.org/stats/players/11893/zywoo?event=7438
ESL Pro League Season 19,https://www.hltv.org/stats/players/11893/zywoo?event=7440
PGL CS2 Major Copenhagen 2024,https://www.hltv.org/stats/players/11893/zywoo?event=7148
PGL CS2 Major Copenhagen 2024 Europe RMR B,https://www.hltv.org/stats/players/11893/zywoo?event=7577
IEM Katowice 2024,https://www.hltv.org/stats/players/11893/zywoo?event=7435
BLAST Premier Spring Groups 2024,https://www.hltv.org/stats/players/11893/zywoo?event=7552
BLAST Premier World Final 2023,https://www.hltv.org/stats/players/11893/zywoo?event=6976
BLAST Premier Fall Final 2023,https://www.hltv.org/stats/players/11893/zywoo?event=6975
IEM Sydney 2023,https://www.hltv.org/stats/players/11893/zywoo?event=6865
ESL Pro League Season 18,https://www.hltv.org/stats/players/11893/zywoo?event=6863
Gamers8 2023,https://www.hltv.org/stats/players/11893/zywoo?event=7128
IEM Cologne 2023,https://www.hltv.org/stats/players/11893/zywoo?event=6811
BLAST Premier Fall Groups 2023,https://www.hltv.org/stats/players/11893/zywoo?event=6973
BLAST Premier Spring Final 2023,https://www.hltv.org/stats/players/11893/zywoo?event=6972
BLAST.tv Paris Major 2023,https://www.hltv.org/stats/players/11893/zywoo?event=6793
IEM Rio 2023,https://www.hltv.org/stats/players/11893/zywoo?event=6864
BLAST.tv Paris Major 2023 Europe RMR B,https://www.hltv.org/stats/players/11893/zywoo?event=6978
ESL Pro League Season 17,https://www.hltv.org/stats/players/11893/zywoo?event=6862
