date,player_team,opponent,map,kd,plus_minus,rating,source_url
27/08/26,Vitality,Inner Circle,cch,16 - 21,-5,0.69,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8249
27/08/26,Vitality,Inner Circle,anb,11 - 15,-4,0.93,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8249
21/08/26,Vitality,Spirit,mrg,5 - 14,-9,0.73,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8261
21/08/26,Vitality,Spirit,nuke,25 - 17,+8,1.29,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8261
21/08/26,Vitality,Spirit,anb,21 - 17,+4,1.02,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8261
20/08/26,Vitality,FaZe,cch,25 - 10,+15,2.21,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8261
20/08/26,Vitality,FaZe,d2,17 - 15,+2,1.17,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8261
16/08/26,Vitality,Lynn Vision,inf,22 - 9,+13,2.18,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8261
16/08/26,Vitality,Lynn Vision,d2,18 - 8,+10,2.22,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8261
14/08/26,Vitality,B8,d2,9 - 12,-3,0.84,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8261
14/08/26,Vitality,B8,inf,17 - 17,0,0.99,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8261
14/08/26,Vitality,B8,mrg,23 - 17,+6,1.58,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8261
12/08/26,Vitality,100 Thieves,nuke,15 - 7,+8,1.28,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8261
24/07/26,Vitality,Liquid,nuke,12 - 14,-2,1.01,https://www.hltv.org/stats/players/matches/11893/zywoo?event=9154
24/07/26,Vitality,Liquid,anb,14 - 13,+1,1.08,https://www.hltv.org/stats/players/matches/11893/zywoo?event=9154
19/06/26,Vitality,Falcons,d2,13 - 15,-2,0.91,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8301
19/06/26,Vitality,Falcons,inf,26 - 13,+13,1.67,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8301
19/06/26,Vitality,Falcons,anb,15 - 14,+1,0.95,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8301
14/06/26,Vitality,BetBoom,nuke,30 - 14,+16,1.70,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8301
14/06/26,Vitality,BetBoom,ovp,23 - 10,+13,1.62,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8301
13/06/26,Vitality,MOUZ,inf,23 - 8,+15,2.32,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8301
13/06/26,Vitality,MOUZ,d2,15 - 14,+1,1.22,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8301
13/06/26,Vitality,MOUZ,mrg,19 - 9,+10,1.56,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8301
12/06/26,Vitality,9z,d2,20 - 16,+4,1.27,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8301
12/06/26,Vitality,9z,mrg,15 - 13,+2,1.27,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8301
12/06/26,Vitality,9z,inf,10 - 9,+1,1.03,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8301
11/06/26,Vitality,FUT,nuke,27 - 10,+17,2.14,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8301
11/06/26,Vitality,FUT,ovp,19 - 5,+14,2.38,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8301
11/06/26,Vitality,FUT,anb,7 - 15,-8,0.68,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8301
16/05/26,Vitality,Natus Vincere,inf,5 - 13,-8,0.54,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8243
16/05/26,Vitality,Natus Vincere,anb,15 - 14,+1,1.04,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8243
16/05/26,Vitality,Natus Vincere,d2,19 - 13,+6,1.28,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8243
13/05/26,Vitality,B8,d2,15 - 10,+5,1.15,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8243
13/05/26,Vitality,B8,mrg,19 - 9,+10,1.61,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8243
13/05/26,Vitality,FaZe,d2,22 - 9,+13,1.86,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8243
13/05/26,Vitality,FaZe,nuke,22 - 16,+6,1.27,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8243
12/05/26,Vitality,BetBoom,nuke,15 - 14,+1,1.10,https://www.hltv.org/stats/players/matches/11893/zywoo?event=8243
