city,latitude,longitude,location_id,location,date,parameter,value,coverage
Paris,48.8588897,2.320041,4039,PARIS 18eme,2026-08-01,o3,84.0,96.0
Paris,48.8588897,2.320041,4039,PARIS 18eme,2026-08-01,pm25,6.0,33.0
Paris,48.8588897,2.320041,4039,PARIS 18eme,2026-08-01,no2,10.7,96.0
Paris,48.8588897,2.320041,4039,PARIS 18eme,2026-08-01,pm10,16.0,33.0
Tallinn,59.437242,24.7572693,8056,"""Liivalaia""",2026-08-01,co,242.0,100.0
Tallinn,59.437242,24.7572693,8056,"""Liivalaia""",2026-08-01,pm10,11.5,100.0
Tallinn,59.437242,24.7572693,8056,"""Liivalaia""",2026-08-01,no2,5.42,79.0
Tallinn,59.437242,24.7572693,8056,"""Liivalaia""",2026-08-01,so2,0.527,100.0
Tallinn,59.437242,24.7572693,8056,"""Liivalaia""",2026-08-01,o3,68.2,100.0
Fort Worth,32.753177,-97.3327459,3311069,1400 N Commerce St FW TX,2026-08-01,temperature,28.8,4.0
Fort Worth,32.753177,-97.3327459,3311069,1400 N Commerce St FW TX,2026-08-01,um003,1720.0,4.0
Fort Worth,32.753177,-97.3327459,3311069,1400 N Commerce St FW TX,2026-08-01,pm25,16.4,4.0
Fort Worth,32.753177,-97.3327459,3311069,1400 N Commerce St FW TX,2026-08-01,relativehumidity,33.0,4.0
Fort Worth,32.753177,-97.3327459,3311069,1400 N Commerce St FW TX,2026-08-01,pm1,9.3,4.0
